"dataset","sim","cases","pass","fail","failDump"
"C:\projects\phish-demo\datasets\ko_scam\mutated\_enggate_shake_400.policyRelabeled.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_enggate_shake_400_v2.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_enggate_shake_400_v2.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_enggate_shake_400_v2.policyRelabeled.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_enggate_shake_400_v2.policyRelabeled.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_enggate_shake_400_v3.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_enggate_shake_400_v3.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_enggate_shake_400_v3.policyRelabeled.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_enggate_shake_400_v3.policyRelabeled.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_enggate_shake_400_v4.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_enggate_shake_400_v4.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_enggate_shake_400_v4.policyRelabeled.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_enggate_shake_400_v4.policyRelabeled.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_enggate_shake_400_v5.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_enggate_shake_400_v5.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_enggate_shake_400_v5.policyRelabeled.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_enggate_shake_400_v5.policyRelabeled.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_fails_expected_threat.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_fails_expected_threat.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_fails_expected_ui.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_fails_expected_ui.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_fails_out_nonlow_fast.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_fails_out_nonlow_fast.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_fails_out_nonlow_fast.policyRelabeled.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_fails_out_nonlow_fast.policyRelabeled.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_one_KO-2007.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_one_KO-2007.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_one_KO-2007.policyRelabeled.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_one_KO-2007.policyRelabeled.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_one_KO-2007_mut.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_one_KO-2007_mut.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_one_KO-2007_mut.policyRelabeled.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_one_KO-2007_mut.policyRelabeled.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_shake_afterfix.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_shake_afterfix.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_shake_afterfix.policyRelabeled.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_shake_afterfix.policyRelabeled.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_showcase_candidate_low.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_showcase_candidate_low.jsonl","simON","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_showcase_candidate_medium.jsonl","simOFF","0","0","0",""
"C:\projects\phish-demo\datasets\ko_scam\mutated\_showcase_candidate_medium.jsonl","simON","0","0","0",""
